repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
2,6,xgboost,2045,26,0.0127139364303178,0.5401379205242505,0.0152536816456117,0.012590218553309,0.012554953624821735,-0.002808845778414115
2,7,logistic,2027,25,0.0123334977799704,0.5392207792207793,0.0133915961852876,0.0122048189171759,0.012203727331495485,-8.944690837187075e-05
2,7,random_forest,2027,25,0.0123334977799704,0.5126373626373627,0.0135656665152045,0.0121925159214057,0.012203727331495485,0.0009186873637245796
2,7,xgboost,2027,25,0.0123334977799704,0.3954645354645354,0.01138222093426,0.0122503280245642,0.012203727331495485,-0.0038185622968194277
2,8,logistic,2060,48,0.0233009708737864,0.4273939695162359,0.0197323592337629,0.02279218101222,0.02278973101055998,-0.0001075046326297624
2,8,random_forest,2060,48,0.0233009708737864,0.439545021537442,0.0204556625995139,0.0227915302235561,0.02278973101055998,-7.894840861832897e-05
2,8,xgboost,2060,48,0.0233009708737864,0.4835984095427436,0.0245990047204957,0.022772839322053,0.02278973101055998,0.000741197362055579
2,9,logistic,2041,25,0.012248897599216,0.5239285714285714,0.0132107705684257,0.012110425622394,0.012107082218346403,-0.0002761527498780225
2,9,random_forest,2041,25,0.012248897599216,0.3913293650793651,0.0097288778373775,0.0121167426842355,0.012107082218346403,-0.0007979185830966351
2,9,xgboost,2041,25,0.012248897599216,0.5296825396825396,0.0162352874093052,0.012099160388219,0.012107082218346403,0.0006543137301404656
2,10,logistic,2039,27,0.013241785188818,0.6641447610632502,0.026804089159977,0.0130402486775972,0.013091855029494798,0.003941867044917169
2,10,random_forest,2039,27,0.013241785188818,0.6796627641558058,0.0415458151395086,0.012976908935761,0.013091855029494798,0.0087799699488601
2,10,xgboost,2039,27,0.013241785188818,0.7296038583314925,0.039814979739041,0.0129863565329189,0.013091855029494798,0.008058330644375444
2,11,logistic,2033,14,0.0068863748155435,0.4518149012948418,0.0066223772500213,0.0068499521525298,0.006842746865472657,-0.001052981675166098
2,11,random_forest,2033,14,0.0068863748155435,0.4951885657680605,0.0071679880020532,0.006844212581435,0.006842746865472657,-0.00021419993917026758
2,11,xgboost,2033,14,0.0068863748155435,0.4151984716620675,0.0063554118221476,0.0068592736135131,0.006842746865472657,-0.002415221308833315
2,12,logistic,2038,21,0.0103042198233562,0.4849257501711641,0.0099476127279583,0.0102127538333895,0.010208618731366135,-0.0004050598942106909
2,12,random_forest,2038,21,0.0103042198233562,0.5598130179191161,0.0122406599737183,0.010208854150286,0.010208618731366135,-2.3060800492302747e-05
2,12,xgboost,2038,21,0.0103042198233562,0.4178057936114455,0.0090721586453597,0.0102225030335844,0.010208618731366135,-0.0013600568875791197
2,13,logistic,2033,15,0.0073782587309394,0.3918070697059795,0.0059655524076997,0.0073380844908701,0.007327668288980944,-0.001421489275765797
2,13,random_forest,2033,15,0.0073782587309394,0.3951106706309877,0.006205406768346,0.0073364931149891,0.007327668288980944,-0.001204315705915171
2,13,xgboost,2033,15,0.0073782587309394,0.4357449620085893,0.0070348556401478,0.0073518929332862,0.007327668288980944,-0.0033059144259686146
2,14,logistic,2036,29,0.0142436149312377,0.6725770149305019,0.0308979415487729,0.0139875833607751,0.014051803744934883,0.004570259115875497
2,14,random_forest,2036,29,0.0142436149312377,0.6212738175008161,0.0687673450310592,0.0139824366428402,0.014051803744934883,0.004936526538074304
2,14,xgboost,2036,29,0.0142436149312377,0.5956050375410202,0.037686860794202,0.0139913348289552,0.014051803744934883,0.004303284978733002
2,15,logistic,2046,47,0.02297165200391,0.60138579928262,0.0305115717881308,0.0224220555006552,0.022473026126387956,0.0022680802062925443
2,15,random_forest,2046,47,0.02297165200391,0.6043447255542665,0.028721686026474,0.0224580509853733,0.022473026126387956,0.0006663606819319323
2,15,xgboost,2046,47,0.02297165200391,0.595457303119645,0.0273864399286009,0.0224719740346652,0.022473026126387956,4.6815756669316144e-05
2,16,logistic,2023,16,0.0079090459713297,0.5132972097658195,0.0103309986860096,0.0078511522796813,0.007850117964169592,-0.00013175795783326727
